Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2,DailyCases,CumulativeCases,Deaths
2020-12-09,S92000003,Scotland,996,103908,1900.9879253567508,104.99451152579584,23,4251,77.77167947310647,5166,968387,17716.556897182585,24867,1160,4.664816825511722,4.978823738109141,8734,16133,97.0,,3.0,,298,862,996,103908,4251
2020-12-10,S92000003,Scotland,891,104799,1917.2886937431392,106.60446395901938,23,4274,78.19246249542627,4518,972905,17799.213318697402,20203,1038,5.1378508142355095,5.051313994186391,7443,12760,94.0,,7.0,,274,764,891,104799,4274
2020-12-11,S92000003,Scotland,864,105663,1933.0954994511528,110.5927552140505,20,4294,78.55836077570436,4466,977371,17880.9184046835,17872,1015,5.679274843330349,5.1931850058317215,7699,10173,92.0,,5.0,,218,797,864,105663,4294
2020-12-12,S92000003,Scotland,677,106340,1945.4811562385655,110.86717892425906,23,4317,78.97914379802414,3297,980668,17941.23673618734,10120,772,7.628458498023716,5.190027700831025,4116,6004,69.0,,3.0,,131,641,677,106340,4317
2020-12-13,S92000003,Scotland,720,107060,1958.653494328577,112.27588730332968,26,4343,79.45481156238566,3287,983955,18001.372118551044,9838,824,8.375686115064038,5.24903931421815,3971,5867,70.0,,4.0,,177,647,720,107060,4343
2020-12-14,S92000003,Scotland,1083,108143,1978.4668862056349,114.7274057811928,31,4374,80.02195389681668,5679,989634,18105.268935236003,24158,1253,5.186687639705274,5.368551187047963,9888,14270,93.0,,6.0,,322,931,1083,108143,4374
2020-12-15,S92000003,Scotland,1033,109176,1997.3655323819976,114.5993413830955,32,4406,80.60739114526162,5559,995193,18206.97036223929,27802,1170,4.208330335947054,5.362598250037076,10007,17795,84.0,,8.0,,255,915,1033,109176,4406
2020-12-16,S92000003,Scotland,1028,110204,2016.1727039882917,115.18477863154044,31,4437,81.17453347969264,5250,1000443,18303.018660812297,24815,1176,4.739069111424541,5.376535517179989,8679,16136,112.0,,6.0,,310,866,1028,110204,4437
2020-12-17,S92000003,Scotland,911,111115,2032.839370654958,115.55067691181851,36,4473,81.8331503841932,4938,1005381,18393.358946212957,21198,1043,4.920275497688461,5.340824576776655,7618,13580,98.0,,5.0,,287,756,911,111115,4473
2020-12-18,S92000003,Scotland,920,112035,2049.67069154775,116.57519209659716,23,4496,82.25393340651299,5105,1010486,18486.75448225393,18643,1064,5.707235959877703,5.346552052367215,7309,11334,88.0,,8.0,,275,789,920,112035,4496
2020-12-19,S92000003,Scotland,747,112782,2063.3369923161363,117.85583607757044,27,4523,82.74789608488841,4005,1014491,18560.025612879617,11629,888,7.6360822082724225,5.372131254390475,4341,7288,94.0,,8.0,,234,654,747,112782,4523
2020-12-20,S92000003,Scotland,812,113594,2078.1924624954263,119.53896816684964,29,4552,83.27844859129162,4413,1018904,18640.76106842298,13112,950,7.245271507016474,5.336842179729338,4365,8747,70.0,,4.0,,201,749,812,113594,4552
